Subdistrict,FISHERY,SAMPLE WEEK,HARVDATE,SOCKEYE,KING,COHO,OTHER,Boat_Shore,STAT WEEK
Chitina Subdistrict,State PU,,1/1/1990,44,1,0,0,B,
Chitina Subdistrict,State PU,,1/1/1990,0,0,0,35,U,
Chitina Subdistrict,State PU,,6/1/1990,25,0,0,0,S,
Chitina Subdistrict,State PU,,6/1/1990,39,0,0,0,S,
Chitina Subdistrict,State PU,,6/1/1990,25,0,0,0,U,
Chitina Subdistrict,State PU,,7/1/1990,34,1,0,0,S,
Chitina Subdistrict,State PU,,7/1/1990,22,0,0,0,U,
Chitina Subdistrict,State PU,,7/1/1990,15,0,0,0,S,
Chitina Subdistrict,State PU,,7/1/1990,4,0,0,0,U,
Chitina Subdistrict,State PU,,7/1/1990,45,0,0,0,S,
Chitina Subdistrict,State PU,,7/1/1990,14,0,0,0,U,
Chitina Subdistrict,State PU,,7/1/1990,19,0,0,0,S,
Chitina Subdistrict,State PU,,7/1/1990,2,0,0,0,S,
Chitina Subdistrict,State PU,,4/16/2019,20,1,0,0,S,15
Chitina Subdistrict,State PU,,5/7/2019,4,1,0,0,B,18
Chitina Subdistrict,State PU,,5/12/2019,12,0,0,0,B,19
Chitina Subdistrict,State PU,,5/16/2019,0,0,0,0,S,19
Chitina Subdistrict,State PU,,5/16/2019,10,0,0,0,B,19
Chitina Subdistrict,FED SUB,,5/19/2019,21,0,0,,,21
Chitina Subdistrict,State PU,,5/20/2019,14,0,0,0,B,20
Chitina Subdistrict,State PU,,5/22/2019,11,0,0,0,S,20
Chitina Subdistrict,State PU,,5/24/2019,20,1,0,0,S,20
Chitina Subdistrict,FED SUB,,5/24/2019,2,0,0,,,21
Chitina Subdistrict,State PU,,5/25/2019,19,0,0,0,S,20
Chitina Subdistrict,State PU,,5/25/2019,4,0,0,0,S,20
Chitina Subdistrict,FED SUB,,5/25/2019,17,4,0,,,21
Chitina Subdistrict,FED SUB,,5/25/2019,20,4,0,,,21
Chitina Subdistrict,State PU,,5/27/2019,53,1,0,0,U,21
Chitina Subdistrict,FED SUB,,5/27/2019,18,4,0,,,22
Chitina Subdistrict,State PU,,5/28/2019,12,0,0,0,S,21
Chitina Subdistrict,FED SUB,,5/28/2019,1,1,0,,,22
Chitina Subdistrict,FED SUB,,5/28/2019,4,1,0,,,22
Chitina Subdistrict,FED SUB,,5/29/2019,30,2,0,,,22
Chitina Subdistrict,FED SUB,,5/29/2019,3,0,0,,,22
Chitina Subdistrict,FED SUB,,5/30/2019,2,1,0,,,22
Chitina Subdistrict,State PU,,5/31/2019,0,0,0,0,S,21
Chitina Subdistrict,FED SUB,,5/31/2019,23,0,0,,,22
Chitina Subdistrict,FED SUB,,5/31/2019,35,0,0,,,22
Chitina Subdistrict,State PU,0,6/1/2019,25,0,0,0,S,21
Chitina Subdistrict,State PU,0,6/1/2019,35,1,0,0,B,21
Chitina Subdistrict,State PU,0,6/1/2019,0,0,0,0,B,21
Chitina Subdistrict,FED SUB,0,6/1/2019,10,0,0,,,22
Chitina Subdistrict,FED SUB,0,6/1/2019,27,0,0,,,22
Chitina Subdistrict,FED SUB,0,6/1/2019,4,0,0,,,22
Chitina Subdistrict,FED SUB,0,6/1/2019,40,5,0,,,22
Chitina Subdistrict,FED SUB,0,6/1/2019,10,0,0,,,22
Chitina Subdistrict,State PU,0,6/2/2019,2,0,0,0,S,22
Chitina Subdistrict,State PU,0,6/2/2019,24,1,0,0,S,22
Chitina Subdistrict,State PU,0,6/2/2019,8,1,0,0,S,22
Chitina Subdistrict,FED SUB,0,6/2/2019,6,4,0,,,23
Chitina Subdistrict,FED SUB,0,6/2/2019,5,0,0,,,23
Chitina Subdistrict,FED SUB,0,6/2/2019,29,0,0,,,23
Chitina Subdistrict,FED SUB,0,6/2/2019,28,1,0,,,23
Chitina Subdistrict,FED SUB,0,6/2/2019,22,0,0,,,23
Chitina Subdistrict,FED SUB,0,6/2/2019,32,0,0,,,23
Chitina Subdistrict,FED SUB,0,6/2/2019,21,0,0,,,23
Chitina Subdistrict,FED SUB,0,6/2/2019,11,0,0,,,23
Chitina Subdistrict,State PU,1,6/3/2019,54,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/3/2019,0,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/3/2019,1,1,0,0,B,22
Chitina Subdistrict,State PU,1,6/3/2019,65,0,0,0,B,22
Chitina Subdistrict,FED SUB,1,6/3/2019,21,1,0,,,23
Chitina Subdistrict,FED SUB,1,6/3/2019,29,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/3/2019,4,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/3/2019,11,1,0,,,23
Chitina Subdistrict,State PU,1,6/4/2019,23,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/4/2019,22,0,0,0,B,22
Chitina Subdistrict,FED SUB,1,6/4/2019,24,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/4/2019,10,1,0,,,23
Chitina Subdistrict,FED SUB,1,6/4/2019,21,0,0,,,23
Chitina Subdistrict,State PU,1,6/5/2019,22,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/5/2019,36,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/5/2019,50,1,0,0,S,22
Chitina Subdistrict,FED SUB,1,6/5/2019,22,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/5/2019,17,2,0,,,23
Chitina Subdistrict,FED SUB,1,6/5/2019,40,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/5/2019,14,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/5/2019,40,2,0,,,23
Chitina Subdistrict,FED SUB,1,6/5/2019,14,1,0,,,23
Chitina Subdistrict,FED SUB,1,6/5/2019,10,0,0,,,23
Chitina Subdistrict,State PU,1,6/6/2019,20,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/6/2019,14,1,0,0,B,22
Chitina Subdistrict,State PU,1,6/6/2019,0,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/6/2019,15,1,0,0,B,22
Chitina Subdistrict,State PU,1,6/6/2019,17,1,0,0,B,22
Chitina Subdistrict,State PU,1,6/6/2019,54,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/6/2019,30,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/6/2019,27,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/6/2019,7,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/6/2019,39,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/6/2019,34,1,0,0,S,22
Chitina Subdistrict,FED SUB,1,6/6/2019,19,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/6/2019,65,3,0,,,23
Chitina Subdistrict,FED SUB,1,6/6/2019,15,1,0,,,23
Chitina Subdistrict,FED SUB,1,6/6/2019,15,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/6/2019,8,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/6/2019,7,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/6/2019,72,2,0,,,23
Chitina Subdistrict,FED SUB,1,6/6/2019,20,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/6/2019,28,0,0,,,23
Chitina Subdistrict,FED SUB,1,6/6/2019,35,5,0,,,23
Chitina Subdistrict,State PU,1,6/7/2019,4,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,2,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,4,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,13,0,0,0,B,22
Chitina Subdistrict,State PU,1,6/7/2019,6,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,31,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,5,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,22,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,17,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,34,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,30,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,13,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,11,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,17,0,0,0,B,22
Chitina Subdistrict,State PU,1,6/7/2019,9,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,10,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,20,0,0,0,B,22
Chitina Subdistrict,State PU,1,6/7/2019,4,0,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,0,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,29,1,0,0,S,22
Chitina Subdistrict,State PU,1,6/7/2019,25,1,0,0,S,22
