SUBDISTRICT,FISHERY,SAMPLE WEEK,HARVDATE,RED,KING,COHO,CHUM,STEELHD,OTHER,OTHER_D,LOCATION,LOCATION2,COMMENTS,STAT WEEK
Glennallen Subdistrict,STATE SUB,,5/6/2019,1,0,0,0,0,0,,,,,19
Glennallen Subdistrict,STATE SUB,,5/7/2019,20,3,0,0,0,0,,3,33,,19
Glennallen Subdistrict,STATE SUB,,5/8/2019,20,2,0,0,0,0,,3,33,,19
Glennallen Subdistrict,FED SUB,,5/17/2019,18,0,0,,,,,,,Fish Wheel,20
Glennallen Subdistrict,FED SUB,,5/18/2019,27,0,0,,,,,,,Fish Wheel,20
Glennallen Subdistrict,FED SUB,,5/19/2019,17,0,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/20/2019,2,8,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/20/2019,1,0,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/20/2019,15,0,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/23/2019,5,0,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/23/2019,0,3,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/23/2019,1,1,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/24/2019,22,0,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/24/2019,1,0,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/25/2019,4,10,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/25/2019,19,1,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/25/2019,5,1,0,,,,,,,Fish Wheel,21
Glennallen Subdistrict,FED SUB,,5/26/2019,24,1,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/26/2019,24,5,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/27/2019,24,2,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/27/2019,3,1,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/27/2019,4,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/27/2019,7,10,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/27/2019,1,5,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/27/2019,0,6,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/28/2019,4,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/28/2019,1,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/28/2019,0,9,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/28/2019,1,6,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/28/2019,0,13,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/28/2019,2,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/28/2019,17,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/29/2019,23,10,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/29/2019,2,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/29/2019,2,1,0,,,,,,,Dip Net,22
Glennallen Subdistrict,FED SUB,,5/29/2019,0,10,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/29/2019,6,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/29/2019,3,2,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,STATE SUB,,5/30/2019,2,0,0,0,0,0,,2,5,,22
Glennallen Subdistrict,FED SUB,,5/30/2019,1,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,6,10,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,0,2,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,15,5,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,4,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,6,1,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,0,12,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,2,3,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,0,1,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,4,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/30/2019,14,2,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,STATE SUB,,5/31/2019,1,0,0,0,0,0,,2,5,,22
Glennallen Subdistrict,FED SUB,,5/31/2019,2,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/31/2019,23,1,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/31/2019,1,2,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/31/2019,5,1,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/31/2019,11,4,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/31/2019,10,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/31/2019,9,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/31/2019,0,11,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,,5/31/2019,11,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,14,1,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,2,1,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,3,0,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,2,0,0,0,0,,3,33,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,26,2,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,9,2,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,5,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,28,0,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,0,2,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,1,3,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,2,0,0,0,0,,3,33,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,1,0,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,1,0,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,7,1,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,6,2,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,4,1,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,1,0,0,0,0,0,,3,33,S,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,40,2,0,0,0,0,,3,33,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,11,2,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,20,1,0,0,0,0,,3,33,S,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,15,0,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,6,2,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,20,8,0,0,0,0,,3,28,FW 85,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,2,0,0,0,0,0,,3,33,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,20,3,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,26,2,0,0,0,0,,3,33,S,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,6,3,0,0,0,0,,2,3.8,FW 98,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,17,1,0,0,0,0,,3,33,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,1,0,0,0,0,,3,33,S,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,6,0,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,1,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,2,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,19,1,0,0,0,0,,3,33,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,15,0,0,0,0,0,,3,33,S,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,0,0,0,0,0,,3,33,S,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,21,2,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,19,0,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,21,3,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,32,3,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,24,5,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,9,1,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,8,1,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,47,1,0,0,0,0,,3,33,S,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,41,1,0,0,0,0,,3,33,S,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,11,1,0,0,0,0,,3,28,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,15,0,0,0,0,0,,1,104,78,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,4,0,0,0,0,0,,1,104,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,0,0,0,0,0,0,,,,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,18,9,0,0,0,0,,3,33,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,34,0,0,0,0,0,,1,109,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,6,1,0,0,0,0,,1,105,88,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,2,0,0,0,0,,1,100,28,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,42,1,0,0,0,0,,2,8,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,8,0,0,0,0,0,,3,33,95,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,0,0,0,0,0,,1,104,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,3,0,0,0,0,0,,,,,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,3,1,0,0,0,0,,1,109,S,22
Glennallen Subdistrict,STATE SUB,0,6/1/2019,10,1,0,0,0,0,,3,33,B,22
Glennallen Subdistrict,FED SUB,0,6/1/2019,8,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,0,6/1/2019,1,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,0,6/1/2019,1,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,0,6/1/2019,9,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,FED SUB,0,6/1/2019,2,0,0,,,,,,,Fish Wheel,22
Glennallen Subdistrict,STATE SUB,0,6/2/2019,17,3,0,0,0,0,,3,33,,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,10,2,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,5,2,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,10,0,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,0,5,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,32,3,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,20,3,0,0,0,0,,3,33,,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,1,3,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,16,3,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,6,3,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,1,0,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,60,3,0,0,0,0,,3,33,,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,17,1,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,6,3,0,0,0,0,,3,33,,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,10,0,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,9,1,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,3,0,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,20,0,0,0,0,0,,1,104,,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,31,1,0,0,0,0,,3,33,,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,16,6,0,0,0,0,,3,33,,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,70,5,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,41,4,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,40,3,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,70,0,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,80,0,0,0,0,0,,3,33,B,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,22,0,0,0,0,0,,3,33,S,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,10,1,0,0,0,0,,3,33,S,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,41,6,0,0,0,0,,3,28,FW 85,23
Glennallen Subdistrict,STATE SUB,0,6/2/2019,12,0,0,0,0,0,,3,33,B,23
