Species,Sample Type,Unique Sample ID,Sample Number,Harvest Type,Subdistrict,Subdistrict Area,Subarea Initials,Gear,Wheel #,Sampler Name,Sample Date,Date Caught,Sample Week,Stat Week,Row,Fish number,# Otoliths Collected,Sex,Length ME-fork,Length ME-Afin,Whole fish (Y/N),Fishery (Fed/State),AGE ,SUBSAMPLED FOR ORIGIN? ,Sub Sample Row,Sub Sample Fish #,Origin    (H/W),
Sockeye,Grab,19DO101A1,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,A,1,2,F,553,433,Y,S,1.3,,,,,
Sockeye,Grab,19DO101A2,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,A,2,2,M,545,421,Y,S,E4,,,,,
Sockeye,Grab,19DO101A3,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,A,3,2,F,543,423,Y,S,E4,,,,,
Sockeye,Grab,19DO101A4,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,A,4,2,M,566,450,Y,S,1.3,,,,,
Sockeye,Grab,19DO101A5,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,A,5,2,M,581,435,Y,S,1.3,,,,,
Sockeye,Grab,19DO101C1,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,C,1,2,F,542,423,Y,S,1.3,,,,,
Sockeye,Grab,19DO101C2,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,C,2,2,M,553,427,Y,S,1.3,,,,,
Sockeye,Grab,19DO101C3,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,C,3,2,M,536,416,Y,S,1.3,,,,,
Sockeye,Grab,19DO101E1,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,E,1,2,M,553,420,Y,S,1.3,,,,,
Sockeye,Grab,19DO101E2,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,E,2,2,M,585,440,Y,S,1.3,,,,,
Sockeye,Grab,19DO101E3,19DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,70,DeLaune/Williams/Farnham,6/1/2019,6/1/2019,0,22,E,3,2,F,418,307,Y,S,2.3,,,,,
Sockeye,Grab,19DO102A1,19DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,17,Farnham,6/4/2019,6/4/2019,1,23,A,1,1,M,610,481,Y,F,1.3,,,,,
Sockeye,Grab,19DO103A1,19DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,67,Farnham,6/4/2019,6/4/2019,1,23,A,1,1,M,412,313,Y,S,1.2,,,,,
Sockeye,Grab,19DO103A2,19DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,67,Farnham,6/4/2019,6/4/2019,1,23,A,2,2,M,592,471,Y,S,1.3,,,,,
Sockeye,Grab,19DO103A3,19DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,67,Farnham,6/4/2019,6/4/2019,1,23,A,3,2,F,524,419,Y,S,1.3,,,,,
Sockeye,Grab,19DO103A4,19DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,67,Farnham,6/4/2019,6/4/2019,1,23,A,4,2,M,543,419,N,S,0.3,,,,,
