SUBDISTRICT,FISHERY,SAMPLE WEEK,HARVDATE,SOCKEYE,KING,COHO,OTHER,Boat_Shore,STAT WEEK,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/17/2020,2,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/17/2020,0,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/21/2020,3,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/23/2020,1,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/23/2020,5,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/26/2020,1,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/26/2020,5,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/26/2020,3,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/27/2020,9,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/27/2020,8,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/27/2020,7,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/28/2020,10,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/28/2020,30,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/29/2020,17,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/29/2020,13,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/31/2020,3,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,5/31/2020,0,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/1/2020,16,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/1/2020,1,1,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/1/2020,2,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/2/2020,0,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/2/2020,10,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/3/2020,32,2,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/4/2020,5,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/4/2020,11,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/4/2020,5,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/4/2020,4,0,0,,,,,,,,
Chitina Subdistrict,Fed CSD Sub,,6/4/2020,10,0,0,,,,,,,,
