Subdistrict,Fishery,Sample week,HARVDATE,RED,KING,COHO
Glennallen Subdistrict,Fed GSD Sub,,5/19/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/23/2020,7,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/23/2020,8,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/26/2020,0,1,0
Glennallen Subdistrict,Fed GSD Sub,,5/26/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/26/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/26/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/27/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/27/2020,9,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/28/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/28/2020,0,1,0
Glennallen Subdistrict,Fed GSD Sub,,5/28/2020,4,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/28/2020,12,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/28/2020,20,11,0
Glennallen Subdistrict,Fed GSD Sub,,5/29/2020,50,0,0
Glennallen Subdistrict,Fed GSD Sub,,5/29/2020,3,2,0
Glennallen Subdistrict,Fed GSD Sub,,5/29/2020,26,9,0
Glennallen Subdistrict,Fed GSD Sub,,5/30/2020,0,1,0
Glennallen Subdistrict,Fed GSD Sub,,5/31/2020,4,3,0
Glennallen Subdistrict,Fed GSD Sub,,5/31/2020,2,3,0
Glennallen Subdistrict,STATE SUB,,6/1/2020,50,3,0
Glennallen Subdistrict,STATE SUB,,6/1/2020,14,1,0
Glennallen Subdistrict,STATE SUB,,6/1/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/1/2020,15,0,0
Glennallen Subdistrict,STATE SUB,,6/1/2020,36,3,0
Glennallen Subdistrict,STATE SUB,,6/1/2020,3,1,0
Glennallen Subdistrict,STATE SUB,,6/1/2020,1,0,0
