Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,AGE,Tag Number,Adipose Fin Present (Y/N),Notes,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,FW,74,Y,610,483,1,M,E3,,Y,,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,N,N/A,N/A,2,N/A,14,,Y,NO HEAD,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,N,N/A,N/A,3,N/A,E3,,Y,NO HEAD,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,N,N/A,N/A,4,N/A,12,,Y,NO HEAD,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,637,448,5,M,E4,,Y,,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,757,584,6,F,E4,,Y,,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,784,635,7,M,13,,Y,,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,827,656,8,M,E3,,Y,,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,803,658,9,M,23,,Y,,
AS001,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,872,697,10,M,14,,Y,,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,864,673,1,M,14,89262,Y,Yellow tag,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,832,642,2,F,13,,Y,,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,758,564,3,F,E3,,Y,,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,848,652,4,F,24,,Y,,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,537,405,5,M,E3,,Y,,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,574,448,6,M,12,,Y,,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,697,542,7,M,E3,,Y,,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,876,646,8,M,13,,Y,,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,868,652,9,F,14,,Y,,
AS002,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,863,648,10,M,13,,Y,,
AS003,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,808,620,1,F,13,,Y,,
AS003,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,FW,75,Y,767,563,2,M,13,,Y,,
AS003,Mikkelsen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,FW,71,Y,502,385,3,F,12,,Y,,
BS001,DeLaune,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,795,610,1,F,E3,,Y,,
BS001,DeLaune,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,800,621,2,F,E3,,Y,,
BS001,DeLaune,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,839,634,3,M,13,,Y,,
BS001,DeLaune,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,559,418,4,M,E3,,Y,,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,814,620,1,F,14,,Y,,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,875,657,2,M,13,,Y,,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,668,507,3,M,23,,Y,,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,677,510,4,M,23,,Y,,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,795,590,5,F,13,,Y,,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,725,530,6,M,13,,Y,Scale #4 is right side scale,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,834,613,7,M,E3,,Y,,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,773,585,8,F,E3,,Y,,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,704,527,9,F,E3,,Y,,
MS001,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,DN,,Y,770,586,10,F,E3,,Y,,
MS002,Hansen,1,6/5/2020,23,GSD,Bridge to Tonsina,BT,S,FW,71,Y,530,400,1,M,12,,Y,,
AS004,Mikkelsen,1,6/6/2020,23,GSD,Bridge to Tonsina,BT,S,FW,71,Y,624,465,1,M,12,,Y,,
AS004,Mikkelsen,1,6/6/2020,23,GSD,Bridge to Tonsina,BT,S,FW,71,Y,605,453,2,M,12,,Y,Right Side Scales,
AS004,Mikkelsen,1,6/6/2020,23,GSD,Bridge to Tonsina,BT,S,FW,71,Y,846,625,3,M,13,9354,Y,Yellow tag,
AS004,Mikkelsen,1,6/6/2020,23,GSD,Bridge to Tonsina,BT,S,FW,71,Y,553,407,4,F,12,,Y,,
AS004,Mikkelsen,1,6/6/2020,23,GSD,Bridge to Tonsina,BT,S,FW,71,Y,503,380,5,M,E3,,Y,,
MP001,Hansen,1,6/6/2020,23,CSD,Below Bridge,BB,F,DN,,Y,845,645,1,F,14,,Y,,
MP001,Hansen,1,6/6/2020,23,CSD,Below Bridge,BB,F,DN,,N,N/A,N/A,2,M,E3,,Y,,
MP001,Hansen,1,6/6/2020,23,CSD,Below Bridge,BB,F,DN,,Y,816,610,3,F,13,9641,Y,Yellow tag,
MP001,Hansen,1,6/6/2020,23,CSD,Below Bridge,BB,F,DN,,Y,711,532,4,F,E3,9343,Y,Yellow tag,
AP001,Mikkelsen,1,6/7/2020,24,CSD,Below Bridge,BB,S,DN,,Y,677,513,1,M,13,,Y,,
AP001,Mikkelsen,1,6/7/2020,24,CSD,Below Bridge,BB,S,DN,,Y,894,672,2,M,14,,Y,,
AP001,Mikkelsen,1,6/7/2020,24,CSD,Below Bridge,BB,S,DN,,N,N/A,N/A,3,M,14,,Y,"FILLET, Right Side Scales",
AP001,Mikkelsen,1,6/7/2020,24,CSD,Below Bridge,BB,S,DN,,N,N/A,N/A,4,M,13,,Y,"FILLET, Right Side Scales",
BP001,DeLaune,1,6/7/2020,24,CSD,Below Bridge,BB,S,DN,,Y,604,453,1,F,12,,Y,,
BP001,DeLaune,1,6/7/2020,24,CSD,Below Bridge,BB,S,DN,,N,N/A,N/A,2,N/A,E5,,N/A,,
BP001,DeLaune,1,6/7/2020,24,CSD,Below Bridge,BB,S,DN,,Y,918,705,3,M,E3,,Y,,
BP001,DeLaune,1,6/7/2020,24,CSD,Below Bridge,BB,S,DN,,Y,788,597,4,M,13,,Y,,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,560,420,1,M,E3,,Y,,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,450,345,2,F,12,,Y,,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,595,461,3,F,12,,Y,,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,730,557,4,M,13,,Y,,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,725,556,5,F,13,,Y,,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,700,521,6,M,13,9242,Y,Yellow tag,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,972,721,7,M,14,9228,Y,Yellow tag,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,774,585,8,M,13,,Y,,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,764,591,9,F,13,,Y,,
BS002,DeLaune,1,6/7/2020,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,773,581,10,F,E4,,Y,,
CS001,Martin,2,6/9/2020,24,GSD,Tonsina to Gakona,TG,F ,FW,9,Y,694,447,1,M,E3,,Y,,
CS001,Martin,2,6/9/2020,24,GSD,Tonsina to Gakona,TG,F ,FW,16,Y,559,354,2,M,12,,Y,,
CS001,Martin,2,6/9/2020,24,GSD,Tonsina to Gakona,TG,F ,FW,16,Y,745,470,3,M,E3,,Y,,
CS002,Martin,2,6/10/2020,24,GSD,Tonsina to Gakona,TG,F ,FW,16,Y,798,589,1,F,E3,,Y,,
CS002,Martin,2,6/10/2020,24,GSD,Tonsina to Gakona,TG,F ,FW,16,Y,603,472,2,M,12,,Y,,
CS002,Martin,2,6/10/2020,24,GSD,Tonsina to Gakona,TG,F ,FW,16,Y,575,434,3,F,12,,Y,,
CS002,Martin,2,6/10/2020,24,GSD,Tonsina to Gakona,TG,F ,FW,16,Y,740,574,4,F,13,,Y,,
