Species,Sample Type,Sample Number,Harvest Type,Subdistrict,Subdistrict Area,Subarea Initials,Gear,Wheel #,Sampler Name,Sample Date,Date Caught,Sample Week,Stat Week,Row,Fish number,# Otoliths Collected,Sex,Length ME-fork,Length ME-A.fin,Whole fish (y/n),Fishery - Fed or State (F/S),AGE,SUBSAMPLED FOR ORIGIN? ,Subsample Row,Subsample Fish #,Origin    (h/w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,8,1,M,513,N/A,Y,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,3,2,M,584,457,Y,S,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,7,1,M,583,452,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,B,11,2,M,585,444,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,2,2,F,582,444,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,6,1,M,581,443,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,10,1,M,586,435,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,6,2,M,566,435,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,8,1,M,578,435,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,B,12,2,M,566,435,Y,S,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,4,2,F,546,432,Y,S,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,9,2,M,542,428,Y,S,E.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,10,2,M,562,426,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,4,2,M,542,421,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,2,2,M,540,420,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,6,1,F,508,419,Y,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,7,1,M,567,418,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,5,2,F,550,415,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,8,2,F,520,412,Y,S,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,9,2,F,512,412,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,DeLaune,6/5/2020,6/5/2020,1,23,D,1,2,F,538,411,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,6,2,F,541,420,N,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,9,1,F,525,410,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,6,2,F,536,407,Y,S,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,2,2,F,536,406,Y,S,E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,2,1,M,546,406,Y,S,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,A,9,2,M,562,415,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,2,2,M,557,415,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,C,3,2,M,546,415,N,F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,2,2,F,545,405,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,1,2,M,533,405,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,7,2,F,528,401,Y,S,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,C,2,2,M,552,412,N,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,11,2,M,538,401,Y,S,E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,8,1,F,526,400,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,5,2,M,523,395,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,7,2,F,514,391,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,A,6,2,F,547,410,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,1,1,M,551,410,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,8,2,F,550,410,N,F,E.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,C,1,2,M,540,410,N,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,1,2,M,506,387,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,9,1,F,500,386,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,3,1,F,512,385,Y,S,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,11,2,F,540,407,N,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,9,2,F,514,384,Y,S,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,5,2,M,511,382,Y,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,8,2,F,495,382,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,A,8,2,M,548,405,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,A,10,2,M,518,405,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,9,2,F,535,405,N,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,4,2,M,520,382,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,3,2,M,490,378,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,DeLaune,6/5/2020,6/5/2020,1,23,C,12,2,F,495,378,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,A,3,2,M,531,404,Y,F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,12,2,F,497,375,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,A,12,2,F,474,365,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,4,2,M,480,360,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,1,1,M,478,359,Y,S,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,3,2,F,454,359,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,3,2,M,461,358,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,7,2,M,525,396,N,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,10,1,F,475,358,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,A,7,2,F,514,395,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,5,2,M,457,356,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
