Subdistrict,Fishery,Sample Week,HARVDATE,RED,KING
Chitina,Federal SUB,,5/16/2021,13,
Chitina,Federal SUB,,5/18/2021,2,
Chitina,Federal SUB,,5/20/2021,2,
Chitina,Federal SUB,,5/22/2021,2,
Chitina,Federal SUB,,5/24/2021,2,
Chitina,Federal SUB,,5/25/2021,7,
Chitina,Federal SUB,,5/25/2021,,4
Chitina,Federal SUB,,5/26/2021,10,
Chitina,Federal SUB,,5/26/2021,2,
Chitina,Federal SUB,,5/26/2021,2,
Chitina,Federal SUB,,5/27/2021,5,
Chitina,Federal SUB,,5/27/2021,,1
Chitina,Federal SUB,,5/28/2021,2,
Chitina,Federal SUB,,5/28/2021,2,
Chitina,Federal SUB,,5/28/2021,5,
Chitina,Federal SUB,,5/28/2021,,1
Chitina,Federal SUB,,5/29/2021,1,
Chitina,Federal SUB,,5/29/2021,5,
Chitina,Federal SUB,,5/29/2021,3,
Chitina,Federal SUB,,5/30/2021,3,
Chitina,Federal SUB,,5/30/2021,6,
Chitina,Federal SUB,,5/31/2021,4,
Chitina,Federal SUB,,5/31/2021,1,
Chitina,Federal SUB,,5/31/2021,,1
Chitina,Federal SUB,1,6/2/2021,6,
Chitina,Federal SUB,1,6/2/2021,12,
Chitina,Federal SUB,1,6/2/2021,48,
Chitina,Federal SUB,1,6/2/2021,8,
Chitina,Federal SUB,1,6/2/2021,6,
Chitina,Federal SUB,1,6/2/2021,9,
Chitina,Federal SUB,1,6/2/2021,,3
Chitina,Federal SUB,1,6/2/2021,,1
Chitina,Personal Use,1,6/3/2021,12,0
Chitina,Federal SUB,1,6/3/2021,19,
Chitina,Federal SUB,1,6/3/2021,16,
Chitina,Federal SUB,1,6/3/2021,11,
Chitina,Federal SUB,1,6/3/2021,,1
Chitina,Federal SUB,1,6/3/2021,,2
Chitina,Personal Use,1,6/4/2021,13,0
Chitina,Federal SUB,1,6/4/2021,36,
Chitina,Federal SUB,1,6/4/2021,8,
Chitina,Federal SUB,1,6/4/2021,44,
Chitina,Federal SUB,1,6/4/2021,76,
Chitina,Federal SUB,1,6/4/2021,50,
Chitina,Federal SUB,1,6/4/2021,40,
Chitina,Federal SUB,1,6/4/2021,29,
Chitina,Federal SUB,1,6/4/2021,10,
Chitina,Federal SUB,1,6/4/2021,,1
Chitina,Federal SUB,1,6/4/2021,,1
Chitina,Federal SUB,1,6/4/2021,,1
Chitina,Federal SUB,1,6/5/2021,20,
Chitina,Federal SUB,1,6/5/2021,20,
Chitina,Federal SUB,1,6/5/2021,40,
Chitina,Federal SUB,1,6/5/2021,10,
Chitina,Federal SUB,1,6/5/2021,27,
Chitina,Federal SUB,1,6/5/2021,6,
Chitina,Federal SUB,1,6/5/2021,6,
Chitina,Federal SUB,1,6/5/2021,56,
Chitina,Federal SUB,1,6/5/2021,,1
Chitina,Federal SUB,1,6/6/2021,2,
Chitina,Federal SUB,1,6/6/2021,50,
Chitina,Federal SUB,1,6/6/2021,2,
Chitina,Federal SUB,1,6/6/2021,20,
Chitina,Federal SUB,1,6/6/2021,60,
Chitina,Federal SUB,1,6/6/2021,22,
Chitina,Federal SUB,1,6/6/2021,7,
Chitina,Federal SUB,1,6/6/2021,20,
Chitina,Federal SUB,1,6/6/2021,29,
Chitina,Federal SUB,1,6/6/2021,8,
Chitina,Federal SUB,1,6/6/2021,3,
Chitina,Federal SUB,1,6/6/2021,16,
Chitina,Federal SUB,1,6/6/2021,18,
Chitina,Federal SUB,1,6/6/2021,,1
Chitina,Federal SUB,1,6/6/2021,,1
Chitina,Federal SUB,1,6/6/2021,,1
Chitina,Federal SUB,1,6/6/2021,,2
Chitina,Federal SUB,1,6/6/2021,,5
Chitina,Federal SUB,1,6/6/2021,,1
Chitina,Federal SUB,1,6/6/2021,,1
Chitina,Personal Use,2,6/7/2021,45,1
Chitina,Personal Use,2,6/7/2021,10,0
Chitina,Personal Use,2,6/7/2021,12,0
Chitina,Personal Use,2,6/7/2021,35,1
Chitina,Personal Use,2,6/7/2021,12,0
Chitina,Personal Use,2,6/7/2021,33,1
Chitina,Personal Use,2,6/7/2021,2,0
Chitina,Personal Use,2,6/7/2021,25,0
Chitina,Personal Use,2,6/7/2021,34,0
Chitina,Federal SUB,2,6/7/2021,9,
Chitina,Federal SUB,2,6/7/2021,9,
Chitina,Federal SUB,2,6/7/2021,16,
Chitina,Federal SUB,2,6/7/2021,14,
Chitina,Federal SUB,2,6/7/2021,26,
Chitina,Federal SUB,2,6/7/2021,50,
Chitina,Federal SUB,2,6/7/2021,26,
Chitina,Federal SUB,2,6/7/2021,,1
Chitina,Federal SUB,2,6/7/2021,,1
Chitina,Federal SUB,2,6/7/2021,,1
Chitina,Federal SUB,2,6/7/2021,,2
Chitina,Federal SUB,2,6/7/2021,,2
Chitina,Federal SUB,2,6/7/2021,,2
Chitina,Personal Use,2,6/8/2021,7,0
Chitina,Personal Use,2,6/8/2021,9,0
Chitina,Personal Use,2,6/8/2021,45,0
Chitina,Personal Use,2,6/8/2021,24,0
Chitina,Personal Use,2,6/8/2021,0,0
Chitina,Personal Use,2,6/8/2021,15,0
Chitina,Personal Use,2,6/8/2021,40,0
Chitina,Federal SUB,2,6/8/2021,30,
Chitina,Federal SUB,2,6/8/2021,9,
Chitina,Federal SUB,2,6/8/2021,12,
Chitina,Federal SUB,2,6/8/2021,6,
Chitina,Federal SUB,2,6/8/2021,4,
Chitina,Federal SUB,2,6/8/2021,4,
Chitina,Federal SUB,2,6/8/2021,42,
Chitina,Federal SUB,2,6/8/2021,10,
Chitina,Federal SUB,2,6/8/2021,15,
Chitina,Federal SUB,2,6/8/2021,12,
Chitina,Federal SUB,2,6/8/2021,,1
Chitina,Personal Use,2,6/9/2021,0,0
Chitina,Personal Use,2,6/9/2021,9,1
Chitina,Personal Use,2,6/9/2021,10,0
Chitina,Personal Use,2,6/9/2021,12,0
Chitina,Personal Use,2,6/9/2021,0,0
Chitina,Personal Use,2,6/9/2021,25,0
Chitina,Personal Use,2,6/9/2021,38,2
Chitina,Personal Use,2,6/9/2021,62,0
Chitina,Personal Use,2,6/9/2021,0,0
Chitina,Personal Use,2,6/9/2021,6,0
Chitina,Personal Use,2,6/9/2021,4,0
Chitina,Federal SUB,2,6/9/2021,39,
Chitina,Federal SUB,2,6/9/2021,21,
Chitina,Federal SUB,2,6/9/2021,20,
Chitina,Federal SUB,2,6/9/2021,30,
Chitina,Federal SUB,2,6/9/2021,10,
Chitina,Federal SUB,2,6/9/2021,5,
Chitina,Federal SUB,2,6/9/2021,120,
Chitina,Federal SUB,2,6/9/2021,43,
Chitina,Federal SUB,2,6/9/2021,33,
Chitina,Federal SUB,2,6/9/2021,39,
Chitina,Federal SUB,2,6/9/2021,4,
Chitina,Federal SUB,2,6/9/2021,,1
Chitina,Federal SUB,2,6/9/2021,,3
Chitina,Federal SUB,2,6/9/2021,,1
Chitina,Federal SUB,2,6/9/2021,,1
Chitina,Personal Use,2,6/10/2021,1,0
Chitina,Personal Use,2,6/10/2021,38,1
Chitina,Personal Use,2,6/10/2021,100,1
Chitina,Personal Use,2,6/10/2021,6,0
Chitina,Personal Use,2,6/10/2021,5,0
Chitina,Personal Use,2,6/10/2021,26,0
Chitina,Personal Use,2,6/10/2021,4,0
Chitina,Personal Use,2,6/10/2021,5,1
Chitina,Personal Use,2,6/10/2021,7,0
Chitina,Personal Use,2,6/10/2021,11,1
Chitina,Personal Use,2,6/10/2021,6,0
Chitina,Personal Use,2,6/10/2021,11,0
Chitina,Personal Use,2,6/10/2021,1,0
Chitina,Personal Use,2,6/10/2021,34,0
Chitina,Personal Use,2,6/10/2021,10,0
Chitina,Personal Use,2,6/10/2021,12,1
Chitina,Personal Use,2,6/10/2021,35,0
Chitina,Personal Use,2,6/10/2021,48,0
Chitina,Personal Use,2,6/10/2021,5,0
Chitina,Personal Use,2,6/10/2021,7,1
Chitina,Personal Use,2,6/10/2021,25,1
Chitina,Personal Use,2,6/10/2021,1,1
Chitina,Personal Use,2,6/10/2021,30,0
Chitina,Personal Use,2,6/10/2021,10,0
Chitina,Personal Use,2,6/10/2021,15,0
Chitina,Personal Use,2,6/10/2021,4,0
Chitina,Personal Use,2,6/10/2021,14,1
Chitina,Personal Use,2,6/10/2021,4,1
Chitina,Personal Use,2,6/10/2021,24,1
Chitina,Personal Use,2,6/10/2021,35,0
Chitina,Personal Use,2,6/10/2021,3,0
Chitina,Personal Use,2,6/10/2021,26,1
Chitina,Personal Use,2,6/10/2021,0,0
Chitina,Personal Use,2,6/10/2021,15,1
Chitina,Personal Use,2,6/10/2021,5,0
Chitina,Personal Use,2,6/10/2021,52,1
Chitina,Personal Use,2,6/10/2021,25,1
Chitina,Personal Use,2,6/10/2021,20,0
Chitina,Personal Use,2,6/10/2021,7,0
Chitina,Personal Use,2,6/10/2021,25,1
Chitina,Personal Use,2,6/10/2021,15,0
Chitina,Personal Use,2,6/10/2021,7,0
Chitina,Personal Use,2,6/10/2021,34,1
Chitina,Personal Use,2,6/10/2021,8,0
Chitina,Personal Use,2,6/10/2021,20,1
Chitina,Personal Use,2,6/10/2021,4,0
Chitina,Personal Use,2,6/10/2021,19,0
Chitina,Personal Use,2,6/10/2021,2,0
Chitina,Personal Use,2,6/10/2021,3,0
Chitina,Personal Use,2,6/10/2021,4,1
Chitina,Personal Use,2,6/10/2021,20,1
Chitina,Personal Use,2,6/10/2021,5,0
Chitina,Personal Use,2,6/10/2021,17,0
Chitina,Personal Use,2,6/10/2021,45,1
Chitina,Personal Use,2,6/10/2021,5,1
Chitina,Personal Use,2,6/10/2021,20,0
Chitina,Personal Use,2,6/10/2021,27,0
Chitina,Personal Use,2,6/10/2021,20,0
Chitina,Personal Use,2,6/10/2021,10,0
Chitina,Personal Use,2,6/10/2021,7,1
Chitina,Personal Use,2,6/10/2021,24,1
Chitina,Personal Use,2,6/10/2021,3,0
Chitina,Personal Use,2,6/10/2021,38,0
Chitina,Personal Use,2,6/10/2021,45,0
Chitina,Personal Use,2,6/10/2021,16,1
Chitina,Personal Use,2,6/10/2021,39,1
Chitina,Personal Use,2,6/10/2021,42,1
Chitina,Personal Use,2,6/10/2021,41,1
Chitina,Personal Use,2,6/10/2021,22,0
Chitina,Personal Use,2,6/10/2021,32,1
Chitina,Personal Use,2,6/10/2021,32,1
Chitina,Personal Use,2,6/10/2021,11,1
Chitina,Personal Use,2,6/10/2021,34,1
Chitina,Personal Use,2,6/10/2021,15,0
Chitina,Personal Use,2,6/10/2021,15,0
Chitina,Personal Use,2,6/10/2021,4,0
Chitina,Personal Use,2,6/10/2021,15,0
Chitina,Personal Use,2,6/10/2021,53,1
Chitina,Personal Use,2,6/10/2021,7,0
Chitina,Personal Use,2,6/10/2021,15,1
Chitina,Personal Use,2,6/10/2021,10,1
Chitina,Personal Use,2,6/10/2021,30,0
Chitina,Personal Use,2,6/10/2021,25,1
Chitina,Personal Use,2,6/10/2021,25,1
Chitina,Personal Use,2,6/10/2021,11,1
Chitina,Personal Use,2,6/10/2021,10,1
Chitina,Personal Use,2,6/10/2021,27,0
Chitina,Personal Use,2,6/10/2021,14,1
Chitina,Personal Use,2,6/10/2021,7,1
Chitina,Personal Use,2,6/10/2021,49,1
Chitina,Personal Use,2,6/10/2021,16,0
Chitina,Personal Use,2,6/10/2021,16,0
Chitina,Personal Use,2,6/10/2021,11,0
Chitina,Personal Use,2,6/10/2021,8,1
Chitina,Personal Use,2,6/10/2021,30,1
Chitina,Personal Use,2,6/10/2021,2,0
Chitina,Personal Use,2,6/10/2021,14,1
Chitina,Personal Use,2,6/10/2021,22,2
Chitina,Personal Use,2,6/10/2021,16,0
Chitina,Personal Use,2,6/10/2021,10,0
Chitina,Personal Use,2,6/10/2021,24,1
Chitina,Personal Use,2,6/10/2021,14,1
Chitina,Personal Use,2,6/10/2021,15,0
Chitina,Personal Use,2,6/10/2021,17,0
Chitina,Personal Use,2,6/10/2021,17,0
Chitina,Personal Use,2,6/10/2021,35,0
Chitina,Personal Use,2,6/10/2021,4,0
Chitina,Personal Use,2,6/10/2021,52,1
Chitina,Personal Use,2,6/10/2021,14,0
Chitina,Personal Use,2,6/10/2021,15,1
Chitina,Personal Use,2,6/10/2021,11,0
Chitina,Personal Use,2,6/10/2021,13,1
Chitina,Personal Use,2,6/10/2021,6,1
Chitina,Personal Use,2,6/10/2021,2,0
Chitina,Personal Use,2,6/10/2021,39,1
Chitina,Personal Use,2,6/10/2021,54,1
Chitina,Personal Use,2,6/10/2021,52,1
Chitina,Personal Use,2,6/10/2021,25,0
Chitina,Personal Use,2,6/10/2021,16,0
Chitina,Personal Use,2,6/10/2021,3,0
Chitina,Personal Use,2,6/10/2021,8,0
Chitina,Personal Use,2,6/10/2021,0,0
Chitina,Personal Use,2,6/10/2021,25,0
Chitina,Personal Use,2,6/10/2021,6,0
Chitina,Personal Use,2,6/10/2021,35,0
Chitina,Personal Use,2,6/10/2021,21,0
Chitina,Personal Use,2,6/10/2021,15,1
Chitina,Personal Use,2,6/10/2021,4,0
Chitina,Personal Use,2,6/10/2021,14,1
Chitina,Personal Use,2,6/10/2021,3,0
Chitina,Personal Use,2,6/10/2021,35,1
Chitina,Personal Use,2,6/10/2021,16,1
Chitina,Personal Use,2,6/10/2021,32,0
Chitina,Personal Use,2,6/10/2021,4,0
