Subdistrict,Fishery,Sample Week,HARVDATE,RED,KING
Glennallen,Federal SUB,,5/22/2021,4,
Glennallen,Federal SUB,,5/22/2021,,1
Glennallen,Federal SUB,,5/22/2021,,1
Glennallen,Federal SUB,,5/25/2021,1,
Glennallen,Federal SUB,,5/27/2021,8,
Glennallen,Federal SUB,,5/27/2021,3,
Glennallen,Federal SUB,,5/27/2021,,2
Glennallen,Federal SUB,,5/28/2021,3,
Glennallen,Federal SUB,,5/28/2021,,2
Glennallen,Federal SUB,,5/29/2021,9,
Glennallen,Federal SUB,,5/29/2021,8,
Glennallen,Federal SUB,,5/29/2021,4,
Glennallen,Federal SUB,,5/29/2021,4,
Glennallen,Federal SUB,,5/29/2021,,1
Glennallen,Federal SUB,,5/30/2021,11,
Glennallen,Federal SUB,,5/30/2021,2,
Glennallen,Federal SUB,,5/30/2021,21,
Glennallen,Federal SUB,,5/31/2021,8,
Glennallen,State SUB,1,6/1/2021,34,3
Glennallen,State SUB,1,6/1/2021,0,0
Glennallen,State SUB,1,6/1/2021,11,2
Glennallen,State SUB,1,6/1/2021,25,0
Glennallen,State SUB,1,6/1/2021,5,0
Glennallen,State SUB,1,6/1/2021,2,1
Glennallen,State SUB,1,6/1/2021,5,3
Glennallen,State SUB,1,6/1/2021,10,1
Glennallen,State SUB,1,6/1/2021,3,1
Glennallen,State SUB,1,6/1/2021,98,3
Glennallen,State SUB,1,6/1/2021,30,1
Glennallen,State SUB,1,6/1/2021,8,0
Glennallen,State SUB,1,6/1/2021,3,2
Glennallen,Federal SUB,1,6/1/2021,50,
Glennallen,Federal SUB,1,6/1/2021,3,
Glennallen,Federal SUB,1,6/1/2021,5,
Glennallen,Federal SUB,1,6/1/2021,2,
Glennallen,Federal SUB,1,6/1/2021,,3
Glennallen,State SUB,1,6/2/2021,1,1
Glennallen,State SUB,1,6/2/2021,2,0
Glennallen,State SUB,1,6/2/2021,10,5
Glennallen,State SUB,1,6/2/2021,13,0
Glennallen,State SUB,1,6/2/2021,1,1
Glennallen,State SUB,1,6/2/2021,18,0
Glennallen,State SUB,1,6/2/2021,2,0
Glennallen,State SUB,1,6/2/2021,8,2
Glennallen,State SUB,1,6/2/2021,3,4
Glennallen,State SUB,1,6/2/2021,0,0
Glennallen,State SUB,1,6/2/2021,18,1
Glennallen,State SUB,1,6/2/2021,11,4
Glennallen,State SUB,1,6/2/2021,3,3
Glennallen,State SUB,1,6/2/2021,18,2
Glennallen,State SUB,1,6/2/2021,2,0
Glennallen,State SUB,1,6/2/2021,0,1
Glennallen,State SUB,1,6/2/2021,5,3
Glennallen,State SUB,1,6/2/2021,7,1
Glennallen,State SUB,1,6/2/2021,5,1
Glennallen,State SUB,1,6/2/2021,24,2
Glennallen,State SUB,1,6/2/2021,3,1
Glennallen,State SUB,1,6/2/2021,0,0
Glennallen,Federal SUB,1,6/2/2021,3,
Glennallen,Federal SUB,1,6/2/2021,6,
Glennallen,Federal SUB,1,6/2/2021,2,
Glennallen,Federal SUB,1,6/2/2021,4,
Glennallen,Federal SUB,1,6/2/2021,12,
Glennallen,Federal SUB,1,6/2/2021,2,
