Species,Sample Type,Sample Number,Harvest Type,Subdistrict,Subdistrict Area,Subarea Initials,Gear,Wheel #,Sampler Name,Sample Date,Date Caught,Sample Week,Stat Week,Row,Fish number,# Otoliths collected,Sex,Length ME-fork,Length ME-A.fin,Whole fish (y/n),Fishery - Fed or State (F/S),AGE,SUBSAMPLED FOR ORIGIN? ,Subsample Row,Subsample Fish #,Origin    (h/w),,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/4/2021,6/4/2021,1,23,A,6,2,M,557,425,Y,S,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/4/2021,6/4/2021,1,23,A,5,2,M,556,425,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,35,Smelcer,6/4/2021,6/4/2021,1,23,A,1,2,M,546,416,N,F,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/4/2021,6/4/2021,1,23,A,4,1,M,536,406,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/4/2021,6/4/2021,1,23,A,8,2,M,535,435,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,35,Smelcer,6/4/2021,6/4/2021,1,23,A,2,2,F,534,412,N,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/4/2021,6/4/2021,1,23,A,9,2,M,534,395,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,35,Smelcer,6/4/2021,6/3/2021,1,23,A,3,1,M,532,395,Y,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/4/2021,6/4/2021,1,23,A,6,2,M,532,405,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/4/2021,6/4/2021,1,23,A,2,2,M,530,408,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/4/2021,6/4/2021,1,23,A,5,2,M,526,401,Y,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/4/2021,6/4/2021,1,23,A,10,2,F,518,395,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/4/2021,6/4/2021,1,23,A,7,1,F,509,387,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/4/2021,6/4/2021,1,23,A,3,2,F,502,392,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/4/2021,6/4/2021,1,23,A,1,2,M,474,367,Y,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/4/2021,6/4/2021,1,23,A,4,2,M,421,330,Y,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/5/2021,6/5/2021,1,23,B,5,2,F,566,ND,N,S,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,2,2,M,565,425,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,B,3,2,M,555,418,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,B,2,1,M,547,405,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/5/2021,6/5/2021,1,23,A,12,2,M,546,ND,N,S,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/5/2021,6/5/2021,1,23,A,11,2,M,545,ND,N,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/5/2021,6/5/2021,1,23,A,10,2,M,542,ND,N,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,9,2,M,540,410,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,B,4,2,F,539,412,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/5/2021,6/5/2021,1,23,B,1,2,M,538,413,N,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,3,2,F,536,415,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/5/2021,6/5/2021,1,23,A,8,1,M,533,391,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
