SUBDISTRICT,FISHERY,SAMPLE WEEK,HARVEST_DATE,REDS,KINGS,COHO
Chitina,Federal SUB,,5/30/2022,3,,
Chitina,Federal SUB,,5/31/2022,4,,
Chitina,Federal SUB,1,6/2/2022,4,,
Chitina,Federal SUB,1,6/2/2022,12,,
Chitina,Federal SUB,1,6/2/2022,,1,
Chitina,Federal SUB,1,6/3/2022,1,,
Chitina,Federal SUB,1,6/3/2022,12,,
Chitina,Federal SUB,1,6/3/2022,,1,
Chitina,Federal SUB,1,6/4/2022,1,,
Chitina,Federal SUB,1,6/5/2022,12,,
Chitina,Federal SUB,1,6/5/2022,1,,
Chitina,Federal SUB,1,6/5/2022,,3,
Chitina,Personal Use,2,6/7/2022,51,0,0
Chitina,Personal Use,2,6/7/2022,0,0,0
Chitina,Personal Use,2,6/7/2022,0,0,0
Chitina,Personal Use,2,6/7/2022,25,0,0
Chitina,Personal Use,2,6/7/2022,27,0,0
Chitina,Personal Use,2,6/7/2022,25,0,0
Chitina,Personal Use,2,6/7/2022,80,1,0
Chitina,Personal Use,2,6/7/2022,65,0,0
Chitina,Personal Use,2,6/7/2022,74,0,0
Chitina,Federal SUB,2,6/8/2022,7,,
Chitina,Federal SUB,2,6/8/2022,8,,
Chitina,Federal SUB,2,6/8/2022,1,,
Chitina,Federal SUB,2,6/8/2022,,1,
Chitina,Personal Use,2,6/8/2022,24,0,0
Chitina,Personal Use,2,6/8/2022,10,1,0
Chitina,Personal Use,2,6/8/2022,11,1,0
Chitina,Personal Use,2,6/8/2022,22,0,0
Chitina,Personal Use,2,6/8/2022,8,1,0
Chitina,Personal Use,2,6/8/2022,32,0,0
Chitina,Personal Use,2,6/8/2022,21,0,0
Chitina,Personal Use,2,6/9/2022,2,1,0
Chitina,Personal Use,2,6/9/2022,24,1,0
Chitina,Personal Use,2,6/9/2022,45,1,0
Chitina,Personal Use,2,6/9/2022,11,0,0
Chitina,Personal Use,2,6/9/2022,7,0,0
Chitina,Personal Use,2,6/9/2022,20,0,0
Chitina,Personal Use,2,6/9/2022,0,0,0
Chitina,Personal Use,2,6/9/2022,25,0,0
Chitina,Federal SUB,2,6/10/2022,1,,
Chitina,Federal SUB,2,6/10/2022,1,,
Chitina,Federal SUB,2,6/10/2022,10,,
Chitina,Federal SUB,2,6/10/2022,1,,
Chitina,Federal SUB,2,6/10/2022,,1,
Chitina,Federal SUB,2,6/10/2022,,1,
Chitina,Federal SUB,2,6/10/2022,,3,
Chitina,Personal Use,2,6/10/2022,6,1,0
Chitina,Personal Use,2,6/10/2022,35,1,0
Chitina,Personal Use,2,6/10/2022,5,0,0
Chitina,Personal Use,2,6/10/2022,0,0,0
Chitina,Personal Use,2,6/10/2022,0,0,0
Chitina,Personal Use,2,6/10/2022,32,1,0
Chitina,Personal Use,2,6/10/2022,2,1,0
Chitina,Personal Use,2,6/10/2022,12,0,0
Chitina,Personal Use,2,6/10/2022,0,0,0
Chitina,Personal Use,2,6/10/2022,24,1,0
Chitina,Personal Use,2,6/10/2022,10,0,0
Chitina,Personal Use,2,6/10/2022,15,0,0
Chitina,Personal Use,2,6/10/2022,5,1,0
Chitina,Personal Use,2,6/10/2022,16,0,0
Chitina,Personal Use,2,6/10/2022,0,0,0
Chitina,Personal Use,2,6/10/2022,34,1,0
Chitina,Personal Use,2,6/10/2022,34,0,0
Chitina,Personal Use,2,6/10/2022,35,0,0
Chitina,Personal Use,2,6/10/2022,15,0,0
Chitina,Personal Use,2,6/10/2022,31,0,0
Chitina,Personal Use,2,6/10/2022,3,0,0
Chitina,Personal Use,2,6/10/2022,21,0,0
Chitina,Federal SUB,2,6/11/2022,1,,
Chitina,Federal SUB,2,6/11/2022,10,,
Chitina,Federal SUB,2,6/11/2022,,3,
Chitina,Federal SUB,2,6/11/2022,,2,
Chitina,Personal Use,2,6/11/2022,2,1,0
Chitina,Personal Use,2,6/11/2022,0,0,0
Chitina,Personal Use,2,6/11/2022,5,1,0
Chitina,Personal Use,2,6/11/2022,0,0,0
Chitina,Personal Use,2,6/11/2022,4,1,0
Chitina,Personal Use,2,6/11/2022,22,1,0
Chitina,Personal Use,2,6/11/2022,1,1,0
Chitina,Personal Use,2,6/11/2022,7,1,0
Chitina,Personal Use,2,6/11/2022,7,1,0
Chitina,Personal Use,2,6/11/2022,30,1,0
Chitina,Personal Use,2,6/11/2022,6,1,0
Chitina,Personal Use,2,6/11/2022,1,1,0
Chitina,Personal Use,2,6/11/2022,2,0,0
Chitina,Personal Use,2,6/11/2022,22,1,0
Chitina,Personal Use,2,6/11/2022,3,1,0
Chitina,Personal Use,2,6/11/2022,3,1,0
Chitina,Personal Use,2,6/11/2022,5,1,0
Chitina,Personal Use,2,6/11/2022,3,1,0
Chitina,Personal Use,2,6/11/2022,8,1,0
Chitina,Personal Use,2,6/11/2022,2,0,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,9,1,0
Chitina,Personal Use,2,6/11/2022,3,1,0
Chitina,Personal Use,2,6/11/2022,1,1,0
Chitina,Personal Use,2,6/11/2022,6,1,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,8,0,0
Chitina,Personal Use,2,6/11/2022,8,1,0
Chitina,Personal Use,2,6/11/2022,1,0,0
Chitina,Personal Use,2,6/11/2022,5,1,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,1,1,0
Chitina,Personal Use,2,6/11/2022,0,0,0
Chitina,Personal Use,2,6/11/2022,7,0,0
Chitina,Personal Use,2,6/11/2022,0,0,0
Chitina,Personal Use,2,6/11/2022,20,0,0
Chitina,Personal Use,2,6/11/2022,1,1,0
Chitina,Personal Use,2,6/11/2022,30,1,0
Chitina,Personal Use,2,6/11/2022,12,0,0
Chitina,Personal Use,2,6/11/2022,0,0,0
Chitina,Personal Use,2,6/11/2022,1,0,0
Chitina,Personal Use,2,6/11/2022,15,2,0
Chitina,Personal Use,2,6/11/2022,2,1,0
Chitina,Personal Use,2,6/11/2022,2,1,0
Chitina,Personal Use,2,6/11/2022,55,1,0
Chitina,Personal Use,2,6/11/2022,7,0,0
Chitina,Personal Use,2,6/11/2022,17,0,0
Chitina,Personal Use,2,6/11/2022,2,1,0
Chitina,Personal Use,2,6/11/2022,65,1,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,2,1,0
Chitina,Personal Use,2,6/11/2022,13,1,0
Chitina,Personal Use,2,6/11/2022,1,1,0
Chitina,Personal Use,2,6/11/2022,1,1,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,0,0,0
Chitina,Personal Use,2,6/11/2022,6,1,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,3,1,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,5,1,0
Chitina,Personal Use,2,6/11/2022,0,0,0
Chitina,Personal Use,2,6/11/2022,0,0,0
Chitina,Personal Use,2,6/11/2022,2,0,0
Chitina,Personal Use,2,6/11/2022,0,0,0
Chitina,Personal Use,2,6/11/2022,0,1,0
Chitina,Personal Use,2,6/11/2022,1,0,0
Chitina,Personal Use,2,6/11/2022,19,0,0
Chitina,Personal Use,2,6/11/2022,4,0,0
Chitina,Personal Use,2,6/11/2022,11,0,0
Chitina,Personal Use,2,6/11/2022,12,0,0
Chitina,Personal Use,2,6/11/2022,15,1,0
Chitina,Personal Use,2,6/11/2022,5,0,0
Chitina,Personal Use,2,6/11/2022,19,0,0
Chitina,Personal Use,2,6/11/2022,3,0,0
Chitina,Personal Use,2,6/11/2022,4,0,0
Chitina,Personal Use,2,6/11/2022,12,1,0
Chitina,Personal Use,2,6/11/2022,3,0,0
Chitina,Personal Use,2,6/11/2022,25,0,0
