Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,NVE Yellow Tag Number,Adipose Fin Present (Y/N),Notes (include radio tag # in this column),Age,Aged by
CS001,Northway,1,6/5/2022,24,GSD,Bridge to Tonsina,BT,S,FW,3,Y,659,477,1,M,,Y,,13,
AS001,Sanchez-Butler,1,6/5/2022,24,GSD,Bridge to Tonsina,BT,S,FW,3,Y,711,554,1,M,,Y,RIGHT SIDE,23,
AS001,Sanchez-Butler,1,6/5/2022,24,GSD,Bridge to Tonsina,BT,S,FW,3,Y,804,606,2,F,,Y,,13,
CS002,Northway,2,6/10/2022,24,GSD,Bridge to Tonsina,BT,S,FW,86,N,N/A,459,1,M,,Y,Cutoff Tail so could not take full length measurement,E3,
BP001,Williams,1,6/11/2022,24,CSD,Below Bridge,BB,S,DN,,Y,806,532,1,N/A,,N/A,,E3,Rertz
BP001,Williams,1,6/11/2022,24,CSD,Below Bridge,BB,S,DN,,Y,667,436,2,N/A,,N/A,,23,
BP001,Williams,1,6/11/2022,24,CSD,Below Bridge,BB,S,DN,,Y,741,562,3,F,,Y,,13,
BP001,Williams,1,6/11/2022,24,CSD,Below Bridge,BB,S,DN,,Y,757,580,4,F,,Y,,E4,
BP001,Williams,1,6/11/2022,24,CSD,Below Bridge,BB,S,DN,,Y,778,578,5,F,,Y,,13,
BP001,Williams,1,6/11/2022,24,CSD,Below Bridge,BB,S,DN,,Y,731,557,6,F,,Y,RIGHT SIDE SCALE,13,
BP001,Williams,1,6/11/2022,24,CSD,Below Bridge,BB,S,DN,,Y,790,602,7,F,,Y,,13,
AP001,Sanchez-Butler,1,6/11/2022,24,CSD,Below Bridge,BB,S,DN,,Y,584,446,1,M,,Y,,E6,
AP001,Sanchez-Butler,1,6/11/2022,24,CSD,Below Bridge,BB,S,DN,,Y,746,564,2,M,,Y,,E6,
CS003,Northway,2,6/11/2022,24,GSD,Bridge to Tonsina,BT,S,FW,86,Y,N/A,N/A,1,N/A,,Y,,13,
CS003,Northway,2,6/11/2022,24,GSD,Bridge to Tonsina,BT,S,FW,86,Y,N/A,N/A,2,N/A,,Y,,12,
CS003,Northway,2,6/11/2022,24,GSD,Bridge to Tonsina,BT,S,FW,86,Y,N/A,N/A,3,N/A,,Y,,13,
CS003,Northway,2,6/11/2022,24,GSD,Bridge to Tonsina,BT,S,FW,86,Y,N/A,N/A,4,N/A,,Y,,13,
BP002,Williams,1,6/12/2022,25,CSD,Below Bridge,BB,S,DN,,Y,536,406,1,M,,Y,RIGHT SIDE SCALE,12,
BP002,Williams,1,6/12/2022,25,CSD,Below Bridge,BB,S,DN,,Y,610,464,2,M,,Y,,E6,
BP002,Williams,1,6/12/2022,25,CSD,Below Bridge,BB,S,DN,,Y,726,544,3,M,,Y,,13,
