Species,Sample Type,Sample Number,Harvest Type,Subdistrict,Subdistrict Area,Subarea Initials,Gear,Wheel #,Sampler Name,Sample Date,Date Caught,Sample Week,Stat Week,Row,Fish number,# Otoliths collected,Sex,Length ME-fork,Length ME-A.fin,Whole fish (y/n),Fishery - Fed or State (F/S),Age,LAST 5 DIGITS OF GENETICS CARD,GENETICS  FISH #,SUBSAMPLED FOR ORIGIN? ,Origin    (h/w),,,,,,,,,,,,,,,,,,,,,
SOCKEYE,GRAB,22DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,3,Northway,6/5/2022,6/5/2022,1,24,A,2,2,M,500,382,Y,S,"1,2",69096,1,,,,,,,,,,,,,,,,,,,,,,,
SOCKEYE,GRAB,22DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,3,Sanchez-Butler,6/5/2022,6/5/2022,1,24,A,1,2,M,465,367,Y,S,"2,2",69079,1,,,,,,,,,,,,,,,,,,,,,,,
SOCKEYE,GRAB,22DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,3,Northway,6/5/2022,6/5/2022,1,24,A,3,0,F,471,364,Y,S,E5,69096,2,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,A,9,2,M,578,438,Y,S,"1,3",68997,9,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,10,2,F,536,424,Y,S,"2,2",68976,22,,,,,,,,,,,,,,,,,,,,,,,
SOCKEYE,GRAB,22DO102,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,86,Northway,6/11/2022,6/11/2022,2,24,A,1,1,M,524,424,Y,S,"2,3",69092,1,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,8,0,F,521,417,Y,S,E5,68976,20,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,A,8,2,F,547,416,Y,S,"1,3",68976,8,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO003,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Sanchez-Butler,6/11/2022,6/11/2022,2,24,B,9,2,F,518,404,Y,S,"1,3",68976,21,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,22DO001,Personal Use,Chitina Subdistrict,Below Bridge,BB,DN,,Williams,6/11/2022,6/11/2022,2,24,B,4,2,M,528,403,Y,S,"1,3",68997,16,,,,,,,,,,,,,,,,,,,,,,,
