week,2019,2020,2021,2022
0,6/1 - 6/2b,,,
1,6/3 - 6/9,6/1 - 6/7,6/1 - 6/6b,6/1 - 6/5b
2,6/10 - 6/16,6/8 - 6/14,6/7 - 6/13,6/6 - 6/12
3,6/17 - 6/23,6/15 - 6/21,6/14 - 6/20,6/13 - 6/19
4,6/24 - 6/30,6/22 - 6/28,6/21 - 6/27,6/20 - 6/26
5,7/1 - 7/7,6/29 - 7/5,6/28 - 7/4,6/27 - 7/3
6,7/8 - 7/14,7/6 - 7/12,7/5 - 7/11,7/4 - 7/10
7,7/15 - 7/21,7/13 - 7/19,7/12 - 7/18,7/11 - 7/17
8,7/22 - 7/28,7/20 - 7/26,7/19 - 7/25,7/18 - 7/24
9,7/29 - 8/4,7/27 - 8/2,7/26 - 8/1,7/25 - 7/31
10,8/5 - 8/11,8/3 - 8/9,8/2 - 8/8,8/1 - 8/7
11,8/12 - 8/18,8/10 - 8/16,8/9 - 8/15,8/8 - 8/14
12,8/19 - 8/25,8/17 - 8/23,8/16 - 8/22,8/15 - 8/21
13,8/26 - 8/31b,8/24 - 8/30,8/23 - 8/29,8/22 - 8/28
