"","nz","pz","vpz","prop_for_tab","harv_for_tab"
"4 0.3  M",22,0.0135304832872673,9.33450078192444e-06,"1.35% (0.31%)","2031 (459)"
"4 0.3 F",39,0.0208820996583095,1.24205562987301e-05,"2.09% (0.35%)","3135 (529)"
"4 0.3 total",61,0.0344125829455769,2.12625695654782e-05,"3.44% (0.46%)","5167 (692)"
"4 1.2  M",118,0.0533792773404728,2.78731359154749e-05,"5.34% (0.53%)","8014 (793)"
"4 1.2 F",125,0.0512972790554399,2.4703059686452e-05,"5.13% (0.5%)","7702 (746)"
"4 1.2 total",243,0.104676556395913,4.98177678540686e-05,"10.47% (0.71%)","15716 (1060)"
"5 1.3  M",680,0.322678882194574,0.000122894980093234,"32.27% (1.11%)","48448 (1664)"
"5 1.3 F",913,0.426024982469792,0.000136250983617805,"42.6% (1.17%)","63964 (1753)"
"5 1.3 total",1593,0.748703864664366,0.000103708721750962,"74.87% (1.02%)","112412 (1529)"
"5 2.2  M",33,0.0159273882034457,9.21563569015282e-06,"1.59% (0.3%)","2391 (456)"
"5 2.2 F",37,0.017354724679636,9.11883982640573e-06,"1.74% (0.3%)","2606 (453)"
"5 2.2 total",70,0.0332821128830817,1.80614594923217e-05,"3.33% (0.42%)","4997 (638)"
"6 1.4  M",1,0.000233329315717667,5.44425695732746e-08,"0.02% (0.02%)","35 (35)"
"6 1.4 F",1,0.000233329315717667,5.44425695732746e-08,"0.02% (0.02%)","35 (35)"
"6 1.4 total",2,0.000466658631435334,1.08753793984732e-07,"0.05% (0.03%)","70 (50)"
"6 2.3  M",82,0.0375366154882341,1.89648364563712e-05,"3.75% (0.44%)","5636 (654)"
"6 2.3 F",89,0.0398034130862122,1.99790818295558e-05,"3.98% (0.45%)","5976 (671)"
"6 2.3 total",171,0.0773400285744463,3.73048123998383e-05,"7.73% (0.61%)","11612 (917)"
"7 2.4 F",1,0.000560622889626842,3.14298024373551e-07,"0.06% (0.06%)","84 (84)"
"7 2.4 total",1,0.000560622889626842,3.14298024373551e-07,"0.06% (0.06%)","84 (84)"
"7 3.3  M",1,0.000557573015554443,3.10887667674476e-07,"0.06% (0.06%)","84 (84)"
"7 3.3 total",1,0.000557573015554443,3.10887667674476e-07,"0.06% (0.06%)","84 (84)"
" M",937,0.443843548845266,0.000137508874839619,"44.38% (1.17%)","66640 (1761)"
"F",1205,0.556156451154734,0.000137508874839619,"55.62% (1.17%)","83502 (1761)"
" M1",1038,0.436489392856816,0.00011846207979467,"43.65% (1.09%)","65535 (1634)"
"F1",1370,0.563510607143184,0.00011846207979467,"56.35% (1.09%)","84607 (1634)"
