"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"3 1.1  M",12,"0.8 (0.3)%",0.00759926424864863,0.00255335013283037,"396 (133)",395.648093841642,132.937621315681
"3 1.1 F",1,"0 (0)%",0.000360598370244067,0.000360598370244067,"19 (19)",18.7741935483871,18.7741935483871
"3 1.1 total",13,"0.8 (0.3)%",0.0079598626188927,0.00257792024008547,"414 (134)",414.422287390029,134.21683937981
"4 0.3 F",1,"0.2 (0.2)%",0.00167783211360615,0.00167783211360615,"87 (87)",87.3546511627907,87.3546511627907
"4 0.3 total",1,"0.2 (0.2)%",0.00167783211360615,0.00167783211360615,"87 (87)",87.3546511627907,87.3546511627907
"4 1.2  M",149,"15.2 (1.3)%",0.15189698269749,0.0129493761293495,"7908 (674)",7908.36450716214,674.196318798453
"4 1.2 F",85,"7 (0.8)%",0.069577114689313,0.00848685780843372,"3622 (442)",3622.46289918439,441.859764938293
"4 1.2 total",234,"22.1 (1.5)%",0.221474097386803,0.0146602955416761,"11531 (763)",11530.8274063465,763.273627081826
"5 1.3  M",389,"31.4 (1.6)%",0.313668797997336,0.0160623033828905,"16331 (836)",16330.8522989333,836.267763326811
"5 1.3 F",323,"27.4 (1.6)%",0.274295709391547,0.0156374159151065,"14281 (814)",14280.9318137615,814.146422204104
"5 1.3 total",712,"58.8 (1.7)%",0.587964507388884,0.0173066899728926,"30612 (901)",30611.7841126948,901.055506748678
"5 2.2  M",17,"2.3 (0.6)%",0.0225481914743747,0.00562674920062984,"1174 (293)",1173.94904092185,292.951070381592
"5 2.2 F",19,"2.2 (0.5)%",0.0216952917079465,0.00517416549972106,"1130 (269)",1129.54366748253,269.387752577477
"5 2.2 total",36,"4.4 (0.8)%",0.0442434831823213,0.00755587564952187,"2303 (393)",2303.49270840437,393.389109816707
"6 1.4  M",2,"0.2 (0.1)%",0.00153921769191809,0.00123254804776366,"80 (64)",80.1378299120235,64.1713815587673
"6 1.4 F",1,"0.1 (0.1)%",0.00117861932167402,0.00117861932167402,"61 (61)",61.3636363636364,61.3636363636364
"6 1.4 total",3,"0.3 (0.2)%",0.00271783701359211,0.00170227916821265,"142 (89)",141.50146627566,88.6274626138237
"6 2.3  M",55,"7.5 (1)%",0.0752358692249223,0.00989354765764745,"3917 (515)",3917.08029532636,515.097665247757
"6 2.3 F",44,"5.9 (0.9)%",0.0587265110709783,0.00875106914894701,"3058 (456)",3057.53707239941,455.615664170777
"6 2.3 total",99,"13.4 (1.3)%",0.133962380295901,0.0126599944783227,"6975 (659)",6974.61736772577,659.129952519394
" M",624,"57.2 (1.7)%",0.572488323334691,0.017399533618169,"29806 (906)",29806.0320660973,905.88931829635
"F",474,"42.8 (1.7)%",0.427511676665309,0.017399533618169,"22258 (906)",22257.9679339027,905.88931829635
" M1",685,"57.3 (1.6)%",0.573202483622219,0.0164088733410089,"29843 (854)",29843.2141073072,854.31158162629
"F1",524,"42.7 (1.6)%",0.426797516377781,0.0164088733410089,"22221 (854)",22220.7858926928,854.31158162629
