"","nz","pz","vpz","prop_for_tab","harv_for_tab","Nz"
"4 0,3  M",3,0.00481382854321496,8.16820347245246e-06,"0.5 (0.3)%","249 (148)",248.976026083621
"4 0,3 F",2,0.00205614724311559,2.10491366326776e-06,"0.2 (0.1)%","106 (75)",106.345991561181
"4 0,3 total",5,0.00686997578633055,1.02552029768839e-05,"0.7 (0.3)%","355 (166)",355.322017644802
"4 1,2  M",65,0.122622203779798,0.000233758367709263,"12.3 (1.5)%","6342 (791)",6342.14300169494
"4 1,2 F",42,0.0660878187601518,0.000118753188541867,"6.6 (1.1)%","3418 (564)",3418.12807409381
"4 1,2 total",107,0.18871002253995,0.000319707395597991,"18.9 (1.8)%","9760 (925)",9760.27107578875
"4 2,1  M",1,0.00102807362155779,1.05693537134296e-06,"0.1 (0.1)%","53 (53)",53.1729957805907
"4 2,1 total",1,0.00102807362155779,1.05693537134296e-06,"0.1 (0.1)%","53 (53)",53.1729957805907
"5 1,3  M",178,0.32902250751414,0.000463064306000596,"32.9 (2.2)%","17017 (1113)",17017.3731111388
"5 1,3 F",211,0.354607627216016,0.000460943300556026,"35.5 (2.1)%","18341 (1110)",18340.6610872395
"5 1,3 total",389,0.683630134730156,0.000451899704516835,"68.4 (2.1)%","35358 (1099)",35358.0341983784
"5 2,2  M",13,0.033388989952935,8.5244404071658e-05,"3.3 (0.9)%","1727 (478)",1726.91194935575
"5 2,2 F",6,0.0111852739483752,2.37509499793129e-05,"1.1 (0.5)%","579 (252)",578.513553883916
"5 2,2 total",19,0.0445742639013102,0.000106960844926579,"4.5 (1)%","2305 (535)",2305.42550323967
"6 1,4  M",2,0.00292095108238638,4.63992045305583e-06,"0.3 (0.2)%","151 (111)",151.074510932106
"6 1,4 F",1,0.00102807362155779,1.05693537134296e-06,"0.1 (0.1)%","53 (53)",53.1729957805907
"6 1,4 total",3,0.00394902470394417,5.68789874498062e-06,"0.4 (0.2)%","204 (123)",204.247506712697
"6 2,3  M",25,0.0478744581675645,0.000103782944272703,"4.8 (1)%","2476 (527)",2476.1148508846
"6 2,3 F",10,0.0213078993060717,5.10779225292878e-05,"2.1 (0.7)%","1102 (370)",1102.06586000933
"6 2,3 total",35,0.0691823574736362,0.000147848315134868,"6.9 (1.2)%","3578 (629)",3578.18071089394
"7 2,4  M",2,0.00205614724311559,2.10491366326776e-06,"0.2 (0.1)%","106 (75)",106.345991561181
"7 2,4 total",2,0.00205614724311559,2.10491366326776e-06,"0.2 (0.1)%","106 (75)",106.345991561181
" M",289,0.543727159904712,0.000509587724280839,"54.4 (2.3)%","28122 (1168)",28122.1124374316
"F",272,0.456272840095288,0.000509587724280839,"45.6 (2.3)%","23599 (1168)",23598.8875625684
" M1",311,0.543143567580483,0.000453402242810715,"54.3 (2.1)%","28092 (1101)",28091.9284588301
"F1",295,0.456856432419517,0.000453402242810715,"45.7 (2.1)%","23629 (1101)",23629.0715411699
