"","2019 n","2019 p","2019 p_raw","2019 se_p_raw","2019 c","2019 c_raw","2019 se_c_raw","2020 n","2020 p","2020 p_raw","2020 se_p_raw","2020 c","2020 c_raw","2020 se_c_raw","2021 n","2021 p","2021 p_raw","2021 se_p_raw","2021 c","2021 c_raw","2021 se_c_raw","2022 n","2022 p","2022 p_raw","2022 se_p_raw","2022 c","2022 c_raw","2022 se_c_raw"
"0","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"1","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"2","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"3","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"4","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"5","45","0 (0)%","0","0","0 (0)","0","0","45","0 (0)%","0","0","0 (0)","0","0","42","0 (0)%","0","0","0 (0)","0","0","22","0 (0)%","0","0","0 (0)","0","0"
"6","20","0 (0)%","0","0","0 (0)","0","0","45","0 (0)%","0","0","0 (0)","0","0","41","0 (0)%","0","0","0 (0)","0","0","38","0 (0)%","0","0","0 (0)","0","0"
"7","38","0 (0)%","0","0","0 (0)","0","0","45","17.8 (5.8)%","0.177777777777778","0.0576377479502509","445 (143)","444.8","142.598313843857","43","2.3 (2.3)%","0.0232558139534884","0.0232558139534884","177 (175)","177.093023255814","175.021688570113","33","3 (3)%","0.0303030303030303","0.0303030303030303","110 (108)","109.787878787879","108.111629531666"
"8","45","2.2 (2.2)%","0.0222222222222222","0.0222222222222222","147 (145)","146.555555555556","144.91801191821","45","33.3 (7.1)%","0.333333333333333","0.0710669054518702","588 (124)","588.333333333333","124.031557115493","45","20 (6)%","0.2","0.0603022689155527","478 (143)","478","142.512065765987","44","0 (0)%","0","0","0 (0)","0","0"
"9","45","2.2 (2.2)%","0.0222222222222222","0.0222222222222222","137 (136)","137.266666666667","135.732912754933","45","26.7 (6.7)%","0.266666666666667","0.0666666666666667","696 (172)","695.733333333333","171.98988313629","45","28.9 (6.8)%","0.288888888888889","0.0683294324254051","449 (105)","449.222222222222","105.065053986913","45","8.9 (4.3)%","0.0888888888888889","0.0429025466294855","428 (204)","427.644444444444","204.097887808659"
"10","45","11.1 (4.7)%","0.111111111111111","0.0473779369679134","328 (138)","328","138.296943004697","45","64.4 (7.2)%","0.644444444444444","0.0721639236343101","2195 (243)","2194.97777777778","243.043977098468","57","35.1 (6.4)%","0.350877192982456","0.0637744894736816","555 (100)","555.087719298246","100.002315395484","32","6.2 (4.3)%","0.0625","0.0434755214775158","126 (86)","126.125","86.3518844566738"
"11","45","33.3 (7.1)%","0.333333333333333","0.0710669054518702","456 (96)","456.333333333333","96.2035137060114","45","40 (7.4)%","0.4","0.0738548945875996","913 (167)","912.8","166.653716830239","33","48.5 (8.8)%","0.484848484848485","0.0883477559825045","567 (102)","567.272727272727","101.788661600166","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"12","45","22.2 (6.3)%","0.222222222222222","0.0626751194241962","145 (40)","144.666666666667","40.3456057239765","45","46.7 (7.5)%","0.466666666666667","0.0752101433090355","387 (62)","387.333333333333","61.7269175131807","40","42.5 (7.9)%","0.425","0.0791582316693952","694 (128)","694.025","127.63934781005","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"13","45","26.7 (6.7)%","0.266666666666667","0.0666666666666667","63 (16)","62.9333333333333","15.5575363818185","45","15.6 (5.5)%","0.155555555555556","0.0546389023688829","42 (14)","41.5333333333333","14.4255808450145","45","91.1 (4.3)%","0.911111111111111","0.0429025466294855","767 (36)","767.155555555556","35.7203121045295","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"total","","","","","1276 (264)","1275.75555555556","263.961397019712","","","","","5266 (395)","5265.51111111111","395.1718259674","","","","","3688 (316)","3687.85624760456","316.085565075545","","","","",NA,NA,NA
