"","2019 n","2019 p","2019 p_raw","2019 se_p_raw","2019 c","2019 c_raw","2019 se_c_raw","2020 n","2020 p","2020 p_raw","2020 se_p_raw","2020 c","2020 c_raw","2020 se_c_raw","2021 n","2021 p","2021 p_raw","2021 se_p_raw","2021 c","2021 c_raw","2021 se_c_raw","2022 n","2022 p","2022 p_raw","2022 se_p_raw","2022 c","2022 c_raw","2022 se_c_raw"
"0","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"1","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"2","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"3","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"4","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"5","44","2.3 (2.3)%","0.0227272727272727","0.0227272727272727","136 (135)","136.25","134.692806001792","45","0 (0)%","0","0","0 (0)","0","0","43","0 (0)%","0","0","0 (0)","0","0","45","0 (0)%","0","0","0 (0)","0","0"
"6","45","2.2 (2.2)%","0.0222222222222222","0.0222222222222222","129 (127)","128.8","127.360848685056","45","4.4 (3.1)%","0.0444444444444444","0.0310677909075347","252 (174)","252.444444444444","174.493313906521","39","0 (0)%","0","0","0 (0)","0","0","43","2.3 (2.3)%","0.0232558139534884","0.0232558139534884","391 (387)","391.255813953488","386.679565135072"
"7","45","4.4 (3.1)%","0.0444444444444444","0.0310677909075347","928 (641)","927.688888888889","641.232207952607","45","20 (6)%","0.2","0.0603022689155527","1571 (468)","1571","468.381705686956","37","27 (7.4)%","0.27027027027027","0.0740165618250224","4479 (1210)","4478.64864864865","1209.8402065441","45","2.2 (2.2)%","0.0222222222222222","0.0222222222222222","426 (421)","425.666666666667","420.910465245385"
"8","45","4.4 (3.1)%","0.0444444444444444","0.0310677909075347","869 (600)","868.533333333333","600.34301766923","45","28.9 (6.8)%","0.288888888888889","0.0683294324254051","1272 (297)","1271.97777777778","297.492882768089","45","26.7 (6.7)%","0.266666666666667","0.0666666666666667","1961 (485)","1960.53333333333","484.656811352243","44","20.5 (6.2)%","0.204545454545455","0.0615132074247489","3015 (896)","3015.40909090909","896.463618293426"
"9","45","28.9 (6.8)%","0.288888888888889","0.0683294324254051","4369 (1022)","4368.57777777778","1021.73231279106","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","44","43.2 (7.6)%","0.431818181818182","0.0755370292175288","3420 (591)","3420.43181818182","591.490540326025","45","22.2 (6.3)%","0.222222222222222","0.0626751194241962","1461 (407)","1460.66666666667","407.360470696924"
"10","45","37.8 (7.3)%","0.377777777777778","0.0730911212732345","2494 (477)","2494.46666666667","477.228094751088","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","45","53.3 (7.5)%","0.533333333333333","0.0752101433090355","2340 (326)","2340.26666666667","326.334595238358","45","13.3 (5.1)%","0.133333333333333","0.0512470743190538","214 (81)","214.266666666667","81.4338625837473"
"11","44","25 (6.6)%","0.25","0.0660338179744218","1293 (338)","1292.75","337.558334605093","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","45","37.8 (7.3)%","0.377777777777778","0.0730911212732345","1496 (286)","1496.37777777778","286.279037302599","44","6.8 (3.8)%","0.0681818181818182","0.0384384309420226","163 (91)","163.431818181818","91.0838910250529"
"12","45","15.6 (5.5)%","0.155555555555556","0.0546389023688829","258 (90)","258.066666666667","89.6331034527306","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","39","61.5 (7.9)%","0.615384615384615","0.078921411698858","1146 (145)","1145.84615384615","145.055438577676","2","0 (0)%","0","0","0 (0)","0","0"
"13","45","11.1 (4.7)%","0.111111111111111","0.0473779369679134","58 (24)","58","24.4549472386355","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN","18","50 (12.1)%","0.5","0.121267812518166","238 (56)","238","56.0971379741328","0","NaN (NaN)%","NaN","NaN","NaN (NaN)","NaN","NaN"
"total","","","","","10533 (1483)","10533.1333333333","1483.31209174195","","","","","3095 (582)","3095.42222222222","581.662577546441","","","","","15080 (1504)","15080.1043984544","1503.69695545814","","","","","5671 (1145)","5670.6967230444","1145.07817507621"
