"","Fishery","Stratum","2019 min_week","2019 max_week","2019 min_date","2019 max_date","2020 min_week","2020 max_week","2020 min_date","2020 max_date","2021 min_week","2021 max_week","2021 min_date","2021 max_date","2022 min_week","2022 max_week","2022 min_date","2022 max_date"
"1","Red GSD",1,0,1,"2019-06-01","2019-06-09",1,2,"2020-06-01","2020-06-14",1,2,"2021-06-01","2021-06-13",1,3,"2022-06-01","2022-06-19"
"2","Red GSD",2,2,3,"2019-06-10","2019-06-23",3,4,"2020-06-15","2020-06-28",3,4,"2021-06-14","2021-06-27",4,4,"2022-06-20","2022-06-26"
"3","Red GSD",3,4,7,"2019-06-24","2019-07-21",5,7,"2020-06-29","2020-07-19",5,7,"2021-06-28","2021-07-18",5,7,"2022-06-27","2022-07-17"
"4","Red GSD",4,8,13,"2019-07-22","2019-08-31",8,13,"2020-07-20","2020-08-30",8,13,"2021-07-19","2021-08-29",8,13,"2022-07-18","2022-08-28"
"5","Red CSD",1,0,2,"2019-06-01","2019-06-16",1,3,"2020-06-01","2020-06-21",1,3,"2021-06-01","2021-06-20",1,3,"2022-06-01","2022-06-19"
"6","Red CSD",2,3,5,"2019-06-17","2019-07-07",4,4,"2020-06-22","2020-06-28",4,5,"2021-06-21","2021-07-04",4,4,"2022-06-20","2022-06-26"
"7","Red CSD",3,6,8,"2019-07-08","2019-07-28",5,5,"2020-06-29","2020-07-05",6,6,"2021-07-05","2021-07-11",5,7,"2022-06-27","2022-07-17"
"8","Red CSD",4,9,13,"2019-07-29","2019-08-31",6,13,"2020-07-06","2020-08-30",7,13,"2021-07-12","2021-08-29",8,13,"2022-07-18","2022-08-28"
"9","King pooled",1,0,1,"2019-06-01","2019-06-09",1,1,"2020-06-01","2020-06-07",1,1,"2021-06-01","2021-06-06",1,3,"2022-06-01","2022-06-19"
"10","King pooled",2,2,2,"2019-06-10","2019-06-16",2,2,"2020-06-08","2020-06-14",2,2,"2021-06-07","2021-06-13",4,4,"2022-06-20","2022-06-26"
"11","King pooled",3,3,5,"2019-06-17","2019-07-07",3,4,"2020-06-15","2020-06-28",3,3,"2021-06-14","2021-06-20",5,6,"2022-06-27","2022-07-10"
"12","King pooled",4,6,13,"2019-07-08","2019-08-31",5,13,"2020-06-29","2020-08-30",4,13,"2021-06-21","2021-08-29",7,13,"2022-07-11","2022-08-28"
